City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
ushuaia,75,AR,1558846088,93,-54.81,-68.31,4.0,1.72
jamestown,81,AU,1558846025,64,-33.21,138.6,13.96,5.96
saint-philippe,90,CA,1558846089,93,45.36,-73.48,15.56,4.1
goderich,0,CA,1558846090,90,43.74,-81.71,17.78,3.58
norsup,20,VU,1558846090,65,-16.07,167.38,28.0,3.6
palu,93,ID,1558846091,59,-0.9,119.87,30.86,2.68
grand gaube,75,MU,1558846091,83,-20.01,57.66,23.0,5.1
hermanus,100,ZA,1558846092,58,-34.42,19.24,20.0,1.49
avarua,5,CK,1558846092,69,-21.21,-159.78,24.0,5.1
barrow,98,AR,1558846094,70,-38.31,-60.23,12.16,3.82
hasaki,0,JP,1558846095,45,35.73,140.83,35.0,3.6
bambous virieux,75,MU,1558846096,83,-20.34,57.76,23.0,5.1
albany,75,US,1558846050,100,42.65,-73.75,16.11,2.1
puerto ayora,47,EC,1558846097,95,-0.74,-90.35,23.89,3.54
baruun-urt,100,MN,1558846097,21,46.68,113.28,14.66,7.21
vakhsh,20,TJ,1558846098,49,37.72,68.84,23.0,3.0
faanui,89,PF,1558846098,77,-16.48,-151.75,28.06,4.62
bluff,28,AU,1558846099,38,-23.58,149.07,25.46,1.49
howard springs,0,AU,1558846100,36,-12.5,131.05,34.44,4.6
gayny,99,RU,1558846100,45,60.3,54.33,14.96,5.71
punta arenas,0,CL,1558846101,80,-53.16,-70.91,1.0,3.6
talnakh,0,RU,1558846102,92,69.49,88.39,-2.0,3.0
kodiak,90,US,1558846103,94,39.95,-94.76,22.78,3.6
airai,48,TL,1558846104,52,-8.93,125.41,31.06,1.46
carnarvon,76,ZA,1558846105,43,-30.97,22.13,13.86,3.05
vaini,0,IN,1558846105,58,15.34,74.49,29.0,3.1
chizhou,100,CN,1558846106,78,30.67,117.49,27.46,5.27
arraial do cabo,16,BR,1558846106,78,-22.97,-42.02,22.36,8.83
vila velha,20,BR,1558846107,83,-3.71,-38.6,27.78,3.1
hilo,75,US,1558846108,65,19.71,-155.08,26.0,4.6
tura,12,IN,1558846108,65,25.52,90.21,32.46,4.09
stabat,40,ID,1558846109,66,3.76,98.46,31.0,3.6
naze,97,NG,1558846109,93,5.43,7.07,24.16,1.42
port elizabeth,75,US,1558846110,82,39.31,-74.98,20.0,3.6
ponta do sol,0,BR,1558846111,92,-20.63,-46.0,9.26,0.91
busselton,0,AU,1558846111,41,-33.64,115.35,18.89,4.62
port-gentil,100,GA,1558846112,84,-0.72,8.78,27.06,5.66
awjilah,98,LY,1558846112,17,29.14,21.3,28.36,8.52
dikson,100,RU,1558846113,92,73.51,80.55,-1.04,7.29
