City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
gucheng,100,CN,1559058811,86,32.27,111.65,13.83,1.63
rikitea,100,PF,1559058812,80,-23.12,-134.97,23.73,4.73
pemba,20,MZ,1559058812,88,-12.97,40.52,26.0,4.6
alice springs,0,AU,1559058813,75,-23.7,133.88,7.0,2.1
sao filipe,0,CV,1559058813,83,14.9,-24.5,23.63,5.51
mago,65,RU,1559058814,93,53.27,140.15,3.93,5.28
takoradi,100,GH,1559058814,81,4.89,-1.75,27.93,3.0
puerto ayora,90,EC,1559058815,69,-0.74,-90.35,26.0,5.7
beringovskiy,96,RU,1559058815,80,63.05,179.32,1.43,0.97
pacasmayo,59,PE,1559058816,91,-7.4,-79.57,18.23,6.13
luderitz,0,NA,1559058816,63,-26.65,15.16,19.0,4.6
ancud,0,CL,1559058723,81,-41.87,-73.83,7.0,0.5
lujan,99,AR,1559058817,75,-46.57,-67.67,2.83,1.59
raudeberg,40,NO,1559058818,64,61.99,5.14,8.0,3.6
albany,90,US,1559058818,87,42.65,-73.75,14.44,1.5
victoria,75,BN,1559058819,79,5.28,115.24,30.0,1.5
ushuaia,75,AR,1559058250,86,-54.81,-68.31,0.0,5.1
port lincoln,100,AU,1559058820,73,-34.72,135.86,14.23,13.18
bathsheba,40,BB,1559058821,66,13.22,-59.52,31.0,7.7
luganville,73,VU,1559058821,95,-15.51,167.18,22.43,1.68
brae,100,GB,1559058822,65,60.4,-1.35,8.0,6.7
klaksvik,81,FO,1559058823,60,62.23,-6.59,5.0,6.7
birao,100,CF,1559058823,35,10.3,22.78,34.53,3.34
mataura,30,NZ,1559058824,80,-46.19,168.86,9.23,2.84
nueva gorgona,40,PA,1559058824,83,8.56,-79.88,30.0,3.1
punta arenas,40,CL,1559058825,61,-53.16,-70.91,1.0,4.6
touros,27,BR,1559058717,74,-5.2,-35.46,28.73,7.89
namibe,75,AO,1559058826,88,-15.19,12.15,20.0,5.1
skjervoy,20,NO,1559058826,44,70.03,20.97,16.0,8.2
busselton,0,AU,1559058826,50,-33.64,115.35,12.22,8.62
severo-kurilsk,86,RU,1559058827,90,50.68,156.12,5.33,7.75
georgetown,75,GY,1559058667,83,6.8,-58.16,29.0,5.1
atuona,64,PF,1559058828,72,-9.8,-139.03,27.73,7.44
tuatapere,28,NZ,1559058829,68,-46.13,167.69,12.53,10.98
narsaq,20,GL,1559058829,35,60.91,-46.05,13.0,3.1
marawi,10,PH,1559058830,88,8.0,124.29,26.11,2.68
sitka,0,US,1559058830,79,37.17,-99.65,21.67,1.79
iznoski,78,RU,1559058831,78,54.99,35.31,22.03,2.92
port elizabeth,90,US,1559058831,88,39.31,-74.98,23.89,2.1
grootfontein,0,NA,1559058832,13,-19.56,18.1,23.0,1.5
manicore,20,BR,1559058737,66,-5.81,-61.3,32.0,1.5
jambi,89,ID,1559058833,97,-1.6,103.62,24.53,1.14
hermanus,2,ZA,1559058833,77,-34.42,19.24,17.78,4.92
luanda,0,AO,1559058834,61,-8.83,13.24,27.0,4.1
avarua,5,CK,1559058585,83,-21.21,-159.78,23.0,5.7
yellowknife,75,CA,1559058834,44,62.45,-114.38,12.0,4.6
ust-tsilma,98,RU,1559058835,83,65.44,52.15,6.53,4.9
cape town,0,ZA,1559058835,52,-33.93,18.42,20.0,4.6
moron,95,VE,1559058836,41,10.49,-68.2,35.63,1.55
hobart,20,AU,1559058836,89,-42.88,147.33,5.0,3.6
port alfred,58,ZA,1559058837,88,-33.59,26.89,14.13,2.77
san jeronimo,0,PE,1559058913,43,-13.65,-73.37,11.0,2.15
thompson,20,CA,1559058913,49,55.74,-97.86,8.0,2.6
batemans bay,1,AU,1559058914,81,-35.71,150.18,10.56,6.71
jiaonan,0,CN,1559058914,59,35.88,119.98,18.0,1.0
walvis bay,0,NA,1559058915,31,-22.95,14.51,26.0,4.1
fairbanks,90,US,1559058915,75,64.84,-147.72,10.0,1.5
hamilton,90,BM,1559058630,100,32.3,-64.78,22.78,6.2
qaanaaq,0,GL,1559058916,75,77.48,-69.36,-3.38,0.55
manama,0,AE,1559058917,20,25.33,56.02,38.0,2.1
umm kaddadah,93,SD,1559058917,30,13.6,26.69,34.53,2.12
ust-shonosha,67,RU,1559058918,57,61.15,41.34,16.93,0.88
arraial do cabo,0,BR,1559058918,69,-22.97,-42.02,28.0,4.6
berdigestyakh,0,RU,1559058919,71,62.1,126.7,6.43,1.45
cherskiy,100,RU,1559058919,92,68.75,161.3,1.63,1.21
macon,1,US,1559058920,49,32.84,-83.63,33.0,4.6
tasiilaq,40,GL,1559058920,60,65.61,-37.64,4.0,3.1
chuy,74,UY,1559058921,76,-33.69,-53.46,16.73,3.66
jamestown,65,AU,1559058921,80,-33.21,138.6,11.73,6.74
garlasco,75,IT,1559058922,59,45.2,8.92,18.0,7.2
oran,0,DZ,1559058923,44,35.7,-0.65,31.0,7.2
lazaro cardenas,5,MX,1559058923,19,28.39,-105.62,24.0,4.6
bethel,90,US,1559058843,93,60.79,-161.76,9.0,1.5
chechat,37,IN,1559058925,14,24.77,75.88,37.33,2.46
escarcega,47,MX,1559058925,59,18.61,-90.75,30.03,3.71
bilibino,80,RU,1559058926,95,68.06,166.44,-1.48,1.13
uhlove,99,UA,1559058926,64,44.82,33.6,24.13,2.68
margate,20,AU,1559058927,89,-43.03,147.26,5.0,3.6
tuktoyaktuk,40,CA,1559058927,69,69.44,-133.03,3.0,10.8
vaini,2,IN,1559058928,76,15.34,74.49,28.33,2.44
compostela,40,MX,1559058907,78,21.24,-104.9,25.56,0.91
arlit,0,NE,1559058929,6,18.74,7.39,43.13,4.83
sangar,9,RU,1559058930,89,63.92,127.47,7.23,1.08
muros,20,ES,1559058931,63,42.77,-9.06,24.0,6.7
san policarpo,0,PH,1559058931,75,12.18,125.51,29.03,3.31
kodiak,90,US,1559058932,100,39.95,-94.76,24.44,7.2
grand-lahou,100,CI,1559058933,73,5.24,-5.0,30.53,2.39
kaitangata,100,NZ,1559058933,72,-46.28,169.85,9.44,3.13
at-bashi,99,KG,1559058934,47,41.17,75.81,11.43,0.52
yokadouma,92,CM,1559058934,89,3.52,15.05,26.43,1.45
katsuura,75,JP,1559058935,72,33.93,134.5,20.0,4.6
